                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.07937,                0.93923,                      1,                0.30502,             0.00023769,             0.00023769,             0.00023769
                      2,                0.05056,                0.93263,                      1,                0.30516,             0.00045685,             0.00045685,             0.00045685
                      3,                0.04875,                0.94452,                      1,                0.30417,             0.00065716,             0.00065716,             0.00065716
                      4,                0.04138,                0.96235,                      1,                0.29356,             0.00062918,             0.00062918,             0.00062918
                      5,                0.03576,                0.95971,                      1,                0.29404,             0.00062918,             0.00062918,             0.00062918
                      6,                0.02933,                0.97358,                      1,                0.28962,              0.0006009,              0.0006009,              0.0006009
                      7,                0.02614,                0.96896,                      1,                0.29099,             0.00057263,             0.00057263,             0.00057263
                      8,                0.02101,                0.97952,                      1,                0.28513,             0.00054435,             0.00054435,             0.00054435
                      9,                0.02068,                0.96169,                      1,                0.29172,             0.00051608,             0.00051608,             0.00051608
                     10,                0.01594,                0.96962,                      1,                0.28845,              0.0004878,              0.0004878,              0.0004878
                     11,                0.01416,                0.98085,                      1,                0.28229,             0.00045953,             0.00045953,             0.00045953
                     12,                0.01417,                0.97952,                      1,                0.28514,             0.00043126,             0.00043126,             0.00043126
                     13,                0.00991,                0.97358,                      1,                0.28467,             0.00040298,             0.00040298,             0.00040298
                     14,                0.00797,                0.98217,                      1,                0.28166,             0.00037471,             0.00037471,             0.00037471
                     15,                0.01716,                0.98217,                      1,                 0.2831,             0.00034643,             0.00034643,             0.00034643
                     16,                0.01233,                0.96962,                      1,                0.28744,             0.00031816,             0.00031816,             0.00031816
                     17,                0.01061,                0.98085,                      1,                0.28139,             0.00028988,             0.00028988,             0.00028988
                     18,                0.00907,                0.98613,                      1,                 0.2801,             0.00026161,             0.00026161,             0.00026161
                     19,                0.00792,                0.98085,                      1,                0.28149,             0.00023334,             0.00023334,             0.00023334
                     20,                0.00849,                0.98151,                      1,                0.28181,             0.00020506,             0.00020506,             0.00020506
                     21,                0.00644,                0.98613,                      1,                0.28027,             0.00017679,             0.00017679,             0.00017679
                     22,                0.00438,                0.98283,                      1,                0.28017,             0.00014851,             0.00014851,             0.00014851
                     23,                0.00406,                0.98283,                      1,                0.27971,             0.00012024,             0.00012024,             0.00012024
                     24,                0.00308,                0.98745,                      1,                0.27917,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                0.00271,                0.98481,                      1,                0.27929,             6.3689e-05,             6.3689e-05,             6.3689e-05
